2ea6.p|abst_ud_l.pcx
2eac.p|abst_ud_r.pcx
3f37.p|MG_SOLID.pcx
576f.p|cur_ld.pcx
5780.p|cur_lu.pcx
582f.p|cur_rd.pcx
5840.p|cur_ru.pcx
5aaf.p|cur_c.pcx
5ab0.p|cur_d.pcx
5ab8.p|cur_l.pcx
5abe.p|cur_r.pcx
5ac1.p|cur_u.pcx
8cde.p|abst_d_l.pcx
8ce4.p|abst_d_r.pcx
9cc2.p|abst_d_r1.pcx
9cc3.p|abst_d_r2.pcx
ae9d.p|abst_dd_l.pcx
aea3.p|abst_dd_r.pcx
d0de.p|abst_u_l.pcx
d0e4.p|abst_u_r.pcx
d3e6.p|abst_dd_l1.pcx
d3e7.p|abst_dd_l2.pcx
d4a6.p|abst_dd_r1.pcx
d4a7.p|abst_dd_r2.pcx
